# Actions and States
# action[0], ..., state[0], ..., command[0], ...
-0.1183086187 0.0000118581 -0.0007006375 -0.0133780306 0.0010193224 -0.0628105185 0.1774474555 -0.3330422863 0.0000000000 0.0000000000 0.0000000000 -0.6383035392 0.7697847699 0.0000000000 -0.7697847699 -0.6383035392 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000112 0.0000000000 -0.0000000005 -0.0000022288 -0.0000000056 -0.0627926812 0.1774474233 -0.3330414891 0.0035653345 -0.0000070021 0.0001626396 -0.6383104031 0.7697790782 0.0000000000 0.0000000000 0.0000000000 0.0017826970
-0.1190633997 0.0000234925 -0.0013773720 -0.0133736208 0.0018806837 -0.0628105185 0.1774474555 -0.3330450922 0.0000000067 0.0000000001 -0.0011223762 -0.6383038194 0.7697845375 -0.0000002489 -0.7697845375 -0.6383038194 -0.0000003107 -0.0000003981 -0.0000000067 1.0000000000 -0.0001242976 0.0000995662 0.0001456175 -0.0000000669 0.0000000001 -0.0000000100 -0.0000085527 -0.0000000325 -0.0627704114 0.1774473786 -0.3330404758 0.0053427671 -0.0000157413 0.0002439588 -0.6383189754 0.7697719699 -0.0000002489 0.0000000000 0.0000000000 0.0026714824
-0.1198067591 0.0000348433 -0.0020301125 -0.0133689726 0.0026081745 -0.0628105184 0.1774474555 -0.3330534126 0.0000000597 0.0000000010 -0.0022057835 -0.6383048969 0.7697836440 -0.0000012360 -0.7697836440 -0.6383048969 -0.0000015432 -0.0000019769 -0.0000000336 1.0000000000 -0.0003686775 0.0002952710 0.0004142866 -0.0000002118 0.0000000004 -0.0000000514 -0.0000182891 -0.0000000996 -0.0627392605 0.1774472594 -0.3330390453 0.0071166600 -0.0000279606 0.0003252772 -0.6383309652 0.7697620274 -0.0000012361 0.0000000000 0.0000000000 0.0035585624
-0.1205384433 0.0000457807 -0.0026587951 -0.0133641753 0.0032222196 -0.0628105177 0.1774474555 -0.3330670541 0.0000002371 0.0000000040 -0.0032508116 -0.6383072085 0.7697817272 -0.0000034334 -0.7697817272 -0.6383072085 -0.0000042871 -0.0000054917 -0.0000000935 1.0000000000 -0.0007288982 0.0005836871 0.0007868829 -0.0000004902 0.0000000010 -0.0000001537 -0.0000308620 -0.0000002225 -0.0626992509 0.1774470955 -0.3330371976 0.0088869762 -0.0000436511 0.0004065947 -0.6383463656 0.7697492562 -0.0000034336 0.0000000000 0.0000000000 0.0044439389
-0.1212583110 0.0000562713 -0.0032633760 -0.0133593185 0.0037401272 -0.0628105156 0.1774474555 -0.3330858263 0.0000006540 0.0000000111 -0.0042580632 -0.6383111230 0.7697784813 -0.0000072962 -0.7697784812 -0.6383111230 -0.0000091110 -0.0000116707 -0.0000001992 0.9999999999 -0.0012006851 0.0009614033 0.0012472000 -0.0000009465 0.0000000024 -0.0000003453 -0.0000457837 -0.0000004141 -0.0626503974 0.1774468273 -0.3330349624 0.0106536774 -0.0000628037 0.0004879109 -0.6383651701 0.7697336614 -0.0000072968 0.0000000000 0.0000000000 0.0053276121
-0.1219662130 0.0000661946 -0.0038438423 -0.0133541934 0.0041765640 -0.0628105105 0.1774474556 -0.3331095418 0.0000014610 0.0000000249 -0.0052281485 -0.6383169514 0.7697736481 -0.0000132623 -0.7697736480 -0.6383169516 -0.0000165620 -0.0000212146 -0.0000003629 0.9999999998 -0.0017797486 0.0014250117 0.0017815039 -0.0000016249 0.0000000049 -0.0000006533 -0.0000626415 -0.0000006850 -0.0625927150 0.1774464548 -0.3330323398 0.0124167288 -0.0000854096 0.0005692256 -0.6383873716 0.7697152483 -0.0000132638 0.0000000000 0.0000000000 0.0062095806
-0.1226622537 0.0000754958 -0.0044002114 -0.0133490385 0.0045439587 -0.0628105001 0.1774474558 -0.3331380164 0.0000028427 0.0000000486 -0.0061616852 -0.6383249561 0.7697670101 -0.0000217529 -0.7697670097 -0.6383249565 -0.0000271657 -0.0000347967 -0.0000005959 0.9999999994 -0.0024617763 0.0019711275 0.0023781559 -0.0000025696 0.0000000090 -0.0000011039 -0.0000810859 -0.0000010442 -0.0625262335 0.1774459630 -0.3330292702 0.0141760921 -0.0001114598 0.0006505386 -0.6384129634 0.7696940218 -0.0000217560 0.0000000000 0.0000000000 0.0070898406
-0.1233464405 0.0000841089 -0.0049325041 -0.0133435559 0.0048528430 -0.0628104808 0.1774474561 -0.3331710688 0.0000050160 0.0000000858 -0.0070592857 -0.6383353579 0.7697583840 -0.0000331721 -0.7697583829 -0.6383353588 -0.0000414259 -0.0000530628 -0.0000009091 0.9999999986 -0.0032424478 0.0025963814 0.0030272929 -0.0000038245 0.0000000152 -0.0000017226 -0.0001008214 -0.0000014988 -0.0624509603 0.1774453372 -0.3330258131 0.0159317311 -0.0001409452 0.0007318496 -0.6384419384 0.7696699872 -0.0000331779 0.0000000000 0.0000000000 0.0079683862
-0.1240185276 0.0000919730 -0.0054407916 -0.0133381030 0.0051121353 -0.0628104482 0.1774474567 -0.3332085209 0.0000082294 0.0000001409 -0.0079215620 -0.6383483424 0.7697476154 -0.0000479075 -0.7697476131 -0.6383483442 -0.0000598249 -0.0000766317 -0.0000013124 0.9999999971 -0.0041174338 0.0032974229 0.0037205562 -0.0000054337 0.0000000242 -0.0000025338 -0.0001215977 -0.0000020545 -0.0623669215 0.1774445474 -0.3330219686 0.0176836085 -0.0001738570 0.0008131584 -0.6384742893 0.7696431493 -0.0000479173 0.0000000000 0.0000000000 0.0088452086
-0.1246785372 0.0000990166 -0.0059251473 -0.0133325011 0.0053293952 -0.0628103963 0.1774474576 -0.3332501977 0.0000127607 0.0000002184 -0.0087491387 -0.6383640654 0.7697345748 -0.0000663298 -0.7697345703 -0.6383640689 -0.0000828233 -0.0001060945 -0.0000018150 0.9999999944 -0.0050824054 0.0040709259 0.0044508612 -0.0000074409 0.0000000368 -0.0000035610 -0.0001432033 -0.0000027161 -0.0622741319 0.1774435937 -0.3330177069 0.0194316879 -0.0002101862 0.0008944647 -0.6385100089 0.7696135132 -0.0000663455 0.0000000000 0.0000000000 0.0097202962
